        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603081800,   1.485,   2.200,   0.400,   0.315,   2.200,   0.300,   2.100,   0.400,   2.200
202603081806,   1.639,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081812,   1.796,   2.528,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081818,   1.955,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081824,   2.114,   2.840,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081830,   2.273,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081836,   2.430,   3.129,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081842,   2.584,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081848,   2.735,   3.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081854,   2.881,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081900,   3.024,   3.617,   0.300,   0.293,   3.617,   0.300,   3.617,   0.400,   3.717
202603081906,   3.161,   3.729,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081912,   3.293,   3.847,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081918,   3.421,   3.939,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081924,   3.544,   4.037,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081930,   3.661,   4.139,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081936,   3.775,   4.247,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081942,   3.884,   4.359,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081948,   3.990,   4.447,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603081954,   4.093,   4.559,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082000,   4.193,   4.657,   0.300,   0.164,   4.657,   0.300,   4.657,   0.300,   4.657
202603082006,   4.290,   4.739,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082012,   4.385,   4.828,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082018,   4.479,   4.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082024,   4.571,   4.998,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082030,   4.661,   5.087,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082036,   4.749,   5.149,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082042,   4.836,   5.228,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082048,   4.921,   5.297,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082054,   5.003,   5.349,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082100,   5.082,   5.418,   0.300,   0.036,   5.418,   0.200,   5.318,   0.300,   5.418
202603082106,   5.158,   5.477,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082112,   5.231,   5.539,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082118,   5.298,   5.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082124,   5.361,   5.657,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082130,   5.417,   5.707,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082136,   5.467,   5.779,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082142,   5.510,   5.838,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082148,   5.546,   5.887,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082154,   5.572,   5.926,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082200,   5.591,   5.949,   0.300,   0.058,   5.949,   0.200,   5.849,   0.300,   5.949
202603082206,   5.600,   5.959,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082212,   5.600,   5.949,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082218,   5.591,   5.940,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082224,   5.572,   5.907,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082230,   5.544,   5.858,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082236,   5.507,   5.808,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082242,   5.461,   5.749,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082248,   5.407,   5.667,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082254,   5.345,   5.589,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082300,   5.275,   5.497,   0.200,   0.022,   5.497,   0.100,   5.397,   0.300,   5.597
202603082306,   5.198,   5.418,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082312,   5.115,   5.320,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082318,   5.026,   5.228,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082324,   4.932,   5.120,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082330,   4.833,   5.008,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082336,   4.730,   4.910,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082342,   4.624,   4.798,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082348,   4.514,   4.690,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603082354,   4.402,   3.978,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603090000,   4.288,   4.480,   0.200,  -0.008,   4.480,   0.100,   4.380,   0.200,   4.480
202603090006,   4.173,   4.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
